2024.06.09-23:05:11 | Вычитывает текстовую базу данных
2024.06.09-23:05:11 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-23:05:12 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-23:05:12 | Начата вычитка 3 файлов
2024.06.09-23:05:12 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-23:05:12 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-23:05:12 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-23:05:12 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.09-23:52:04 | Вычитывает текстовую базу данных
2024.06.09-23:52:04 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-23:52:06 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.09-23:52:06 | Начата вычитка 3 файлов
2024.06.09-23:52:06 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.09-23:52:06 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.09-23:52:06 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.09-23:52:06 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.09-23:52:14 | Вычитывает текстовую базу данных
2024.06.09-23:52:14 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.09-23:52:19 | Успешно прочитан файл: src\crs\report\transactionsStatus.txt
2024.06.10-01:08:24 | Вычитывает текстовую базу данных
2024.06.10-01:08:24 | Успешно прочитан файл: src\crs\jcfpapp\configuration\db\textDatabases.txt
2024.06.10-01:08:27 | В папке: src\crs\resources\input найдено 3 файлов формата txt
2024.06.10-01:08:27 | Начата вычитка 3 файлов
2024.06.10-01:08:27 | Успешно прочитан файл: src\crs\resources\input\inFile7.txt
2024.06.10-01:08:27 | Успешно прочитан файл: src\crs\resources\input\inFile8.txt
2024.06.10-01:08:27 | Успешно прочитан файл: src\crs\resources\input\inFile9.txt
2024.06.10-01:08:27 | Завершена вычитка 3 файлов, успешно 3, провалено 0
2024.06.10-01:08:27 | Из папки input начинаем перенос 3 файлов в папку archive
2024.06.10-01:08:27 | Файл inFile7.txt перемещен в src\crs\resources\archive
2024.06.10-01:08:27 | Файл inFile8.txt перемещен в src\crs\resources\archive
2024.06.10-01:08:27 | Файл inFile9.txt перемещен в src\crs\resources\archive
2024.06.10-01:08:27 | Закончен перенос 3 файлов из папки input в папку archive, успешно 3, провалено 0
2024.06.10-01:08:27 | Обновляем текстовую базу данных
2024.06.10-01:08:27 | Обновление базы успешно
2024.06.10-01:08:28 | В папке: src\crs\resources\input найдено 0 файлов формата txt
2024.06.10-01:08:28 | Начата вычитка 0 файлов
2024.06.10-01:08:28 | Завершена вычитка 0 файлов, успешно 0, провалено 0
